Warning: truncated output (original token count: 108069)
Total output lines: 1538

CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,HardEventStepCount,HardEventEligibleFraction,HardEventOnsetCount,HardEventEpisodeCount,HardEventEpisodeFraction,HardEventCellCount,HardEventFamilyCount,GrowthOnlyEpisodeCount,GrowthOnlyCellCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,PositionForecastPositiveCount,AttitudeForecastPositiveCount,VelocityForecastPositiveCount,BodyRateForecastPositiveCount,ConstraintForecastPositiveCount,SaturationForecastPositiveCount,NonfiniteForecastPositiveCount,FirstPositionEventCount,FirstAttitudeEventCount,FirstVelocityEventCount,FirstBodyRateEventCount,FirstConstraintEventCount,FirstSaturationEventCount,FirstNonfiniteEventCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C037,0.1,5,0.5,3,1.25,3,477900,466917,0.977018204645323,29742,0.0622347771500314,0.0636986873470017,2530,1019,0.377407407407407,118,5,7836,0.016782425998625,594,246,0.0911111111111111,84,5,977,114,7404,802,4427,3603,22,235,461,359,0,4093,3298,0,10,395,297,0,21906,17.139936789725,20,20
C038,0.1,5,0.5,3,1.25,5,477900,466917,0.977018204645323,28205,0.0590186231429169,0.0604068817370111,2207,1004,0.371851851851852,115,5,7836,0.016782425998625,594,246,0.0911111111111111,84,5,956,109,7404,802,4427,3603,22,235,461,359,0,4093,3298,0,10,395,297,0,20369,16.9840808367311,20,20
C039,0.1,5,0.5,3,1.5,3,477900,466917,0.977018204645323,23122,0.0483825068005859,0.049520578603906,2076,930,0.344444444444444,116,5,7836,0.016782425998625,594,246,0.0911111111111111,84,5,881,110,7404,802,4427,3603,22,235,461,359,0,4093,3298,0,10,395,297,0,15286,16.3210794913935,20,20
C040,0.1,5,0.5,3,1.5,5,477900,466917,0.977018204645323,22546,0.047177233730906,0.0482869546407606,1880,921,0.341111111111111,114,5,7836,0.016782425998625,594,246,0.0911111111111111,84,5,865,106,7404,802,4427,3603,22,235,461,359,0,4093,3298,0,10,395,297,0,14710,16.2270912800497,20,20
C041,0.1,5,0.5,3,2,3,477900,466917,0.977018204645323,15764,0.0329859803306131,0.0337618891580302,1408,677,0.250740740740741,108,5,7836,0.016782425998625,594,246,0.0911111111111111,84,5,603,96,7404,802,4427,3603,22,235,461,359,0,4093,3298,0,10,395,297,0,7928,14.6039076376554,20,20
C042,0.1,5,0.5,3,2,5,477900,466917,0.977018204645323,15538,0.0325130780498012,0.0332778630891572,1302,673,0.249259259259259,107,5,7836,0.016782425998625,594,246,0.0911111111111111,84,5,593,92,7404,802,4427,3603,22,235,461,359,0,4093,3298,0,10,395,297,0,7702,14.5254215471747,20,20
C043,0.1,5,0.5,4,1.25,3,477900,466921,0.977026574597196,29708,0.0621636325591128,0.0636253241983119,2534,1017,0.376666666666667,118,5,7839,0.0167887072973801,595,246,0.0911111111111111,84,5,975,113,7407,802,4427,3606,22,38,461,359,0,4093,3311,0,0,395,297,0,21869,17.1354517301737,20,20
C044,0.1,5,0.5,4,1.25,5,477900,466921,0.977026574597196,28148,0.0588993513287299,0.0602842879202263,2196,1001,0.370740740740741,113,5,7839,0.0167887072973801,595,246,0.0911111111111111,84,5,951,106,7407,802,4427,3606,22,38,461,359,0,4093,3311,0,0,395,297,0,20309,16.9766946141822,20,20
C045,0.1,5,0.5,4,1.5,3,477900,466921,0.977026574597196,23086,0.0483071772337309,0.049443053535823,2069,928,0.343703703703704,116,5,7839,0.0167887072973801,595,246,0.0911111111111111,84,5,877,110,7407,802,4427,3606,22,38,461,359,0,4093,3311,0,0,395,297,0,15247,16.3137832452569,20,20
C046,0.1,5,0.5,4,1.5,5,477900,466921,0.977026574597196,22472,0.0470223896212597,0.0481280559238072,1854,918,0.34,112,5,7839,0.0167887072973801,595,246,0.0911111111111111,84,5,859,104,7407,802,4427,3606,22,38,461,359,0,4093,3311,0,0,395,297,0,14633,16.2130651477394,20,20
