CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C056,0.1,15,0.5,1,1.25,5,477900,466691,0.976545302364511,29948,0.0626658296714794,0.0641709396581464,2313,950,0.351851851851852,117,5,11953,783,17934,15.6757379457727,20,20
C057,0.1,15,0.5,1,1.5,3,477900,466691,0.976545302364511,23954,0.0501234567901235,0.0513273236466956,2201,818,0.302962962962963,117,5,11953,783,11940,14.5936795524756,20,20
C058,0.1,15,0.5,1,1.5,5,477900,466691,0.976545302364511,23477,0.0491253400292948,0.0503052340842228,2006,804,0.297777777777778,114,5,11953,783,11463,14.4838352430038,20,20
C059,0.1,15,0.5,1,2,3,477900,466691,0.976545302364511,17147,0.0358798911906257,0.0367416556136716,1668,584,0.216296296296296,109,5,11953,783,5133,12.4474835248148,13,20
C060,0.1,15,0.5,1,2,5,477900,466691,0.976545302364511,16926,0.0354174513496547,0.03626810887718,1548,571,0.211481481481481,107,5,11953,783,4912,12.348871558549,13,20
C061,0.1,15,0.75,1,1.25,3,477900,466692,0.97654739485248,31230,0.0653483992467043,0.0669177958910802,2651,984,0.364444444444444,120,5,11954,783,19215,15.8526737111752,20,20
C062,0.1,15,0.75,1,1.25,5,477900,466692,0.97654739485248,29920,0.06260724000837,0.0641108054134204,2322,956,0.354074074074074,114,5,11954,783,17905,15.6710895721925,20,20
C063,0.1,15,0.75,1,1.5,3,477900,466692,0.97654739485248,23948,0.0501109018623143,0.051314357220608,2215,837,0.31,118,5,11954,783,11933,14.5915734090529,20,20
C064,0.1,15,0.75,1,1.5,5,477900,466692,0.97654739485248,23477,0.0491253400292948,0.0503051262931441,2018,819,0.303333333333333,114,5,11954,783,11462,14.4830685351621,20,20
C065,0.1,15,0.75,1,2,3,477900,466692,0.97654739485248,17168,0.0359238334379577,0.0367865744431017,1676,591,0.218888888888889,109,5,11954,783,5153,12.4556733457596,13,20
C066,0.1,15,0.75,1,2,5,477900,466692,0.97654739485248,16957,0.0354823184766688,0.0363344561295244,1549,575,0.212962962962963,107,5,11954,783,4942,12.3617974877632,13,20
C067,0.1,15,1,1,1.25,3,477900,466692,0.97654739485248,31205,0.0652960870474995,0.0668642273705142,2650,987,0.365555555555556,120,5,11954,783,19190,15.8493510655344,20,20
C068,0.1,15,1,1,1.25,5,477900,466692,0.97654739485248,29915,0.062596777568529,0.0641000917093072,2327,957,0.354444444444444,113,5,11954,783,17900,15.6703660371051,20,20
C069,0.1,15,1,1,1.5,3,477900,466692,0.97654739485248,23945,0.0501046243984097,0.0513079289981401,2226,840,0.311111111111111,117,5,11954,783,11930,14.5908958028816,20,20
C070,0.1,15,1,1,1.5,5,477900,466692,0.97654739485248,23452,0.04907302783009,0.0502515577725781,2021,820,0.303703703703704,112,5,11954,783,11437,14.4771874466996,20,20
C071,0.1,15,1,1,2,3,477900,466692,0.97654739485248,17200,0.0359907930529399,0.0368551421494262,1688,595,0.22037037037037,110,5,11954,783,5185,12.4697093023256,13,20
C072,0.1,15,1,1,2,5,477900,466692,0.97654739485248,16970,0.0355095208202553,0.0363623117602187,1550,579,0.214444444444444,106,5,11954,783,4955,12.3676487919859,13,20
C073,0.1,20,0.3,1,1.25,3,477900,466523,0.976193764385855,31541,0.0659991630048127,0.0676086709551298,2644,954,0.353333333333333,119,5,12135,782,19345,15.8058400177547,20,20
C074,0.1,20,0.3,1,1.25,5,477900,466523,0.976193764385855,30153,0.0630947897049592,0.0646334693037642,2366,927,0.343333333333333,117,5,12135,782,17957,15.6127748482738,20,20
C075,0.1,20,0.3,1,1.5,3,477900,466523,0.976193764385855,24067,0.0503599079305294,0.0515880245990016,2218,794,0.294074074074074,117,5,12135,782,11871,14.503344829019,20,20
C076,0.1,20,0.3,1,1.5,5,477900,466523,0.976193764385855,23583,0.0493471437539234,0.0505505623516954,2030,779,0.288518518518519,114,5,12135,782,11387,14.3905355552729,20,20
