CaseIndex,Family,LoadName,TargetSpeed,AccelerationTarget,GeometryScale,PeakSpeed,SpeedRelativeError,PeakAcceleration,AccelerationRelativeError,PeakHorizontalAcceleration,PeakTiltDeg,PeakThrustFraction,PeakMomentFraction,PeakInputFraction,PeakBodyRate,MinimumCosPitch,DynamicResidualP95,DynamicResidualMax,StateBoundViolation,PhysicalFeasible,RobustTrainCandidate
79,spatial_helix,mild,2,2,2,2,0,1.97266048127593,0.0136697593620337,1.96902880305863,11.4863320116003,0.258058782318718,0.00757402950985672,0.258058782318718,0.201538558334108,0.979978375986604,0.000814829721211743,0.000814936640856799,-1.0210644512268,1,1
80,spatial_helix,moderate,2,5,0.8,2,1.11022302462516e-16,4.92027883779014,0.015944232441972,4.9199217113691,27.3277024627804,0.286599673266409,0.0801191728188294,0.286599673266409,1.27536316150192,0.888650055924398,0.00644124081460168,0.00695655629471865,-0.740776360512138,1,1
81,spatial_helix,hard,2,9,0.444444444444444,2,0,8.73347512034633,0.029613875517074,8.73287048819084,43.7285619554064,0.348083420966908,0.409135574052891,0.409135574052891,4.11622449950817,0.722830683557596,0.143216136574691,0.228081234256925,-0.438928582352533,1,1
82,spatial_helix,mild,4,2,8,4,0,1.97287132885506,0.0135643355724676,1.96918027652253,11.4898158636454,0.254983804342146,0.00381331495623618,0.254983804342146,0.100836870207378,0.979961039027783,0.000407278272181453,0.000407288518312165,-1.02100196571813,1,1
83,spatial_helix,moderate,4,5,3.2,4,1.11022302462516e-16,4.9295307869687,0.0140938426062593,4.92228800637146,27.3732091066794,0.286708414916665,0.0424665000171269,0.286708414916665,0.64137628959682,0.888093077706366,0.00259215780384569,0.00261577259637309,-0.739948168500321,1,1
84,spatial_helix,hard,4,9,1.77777777777778,4,1.11022302462516e-16,8.87389853587558,0.0140112737916017,8.85693799477615,43.6918367506643,0.347322826938742,0.193656329549139,0.347322826938742,2.11584281054777,0.723235894668417,0.0228752060138739,0.0328049563437341,-0.439191370887492,1,1
85,spatial_helix,mild,6,2,18,6,1.48029736616688e-16,1.97302692841544,0.0134865357922781,1.9692083279312,11.4908458644552,0.25499843850345,0.0025450055196432,0.25499843850345,0.0672330769246507,0.979957949684285,0.000271521096010212,0.000271522832847858,-1.02099797040982,1,1
86,spatial_helix,moderate,6,5,7.2,6,0,4.93128183350852,0.0137436332982958,4.9227262840648,27.3816492709493,0.285545595975848,0.0285878531623413,0.285545595975848,0.42806425549414,0.887962821091377,0.00170379850591444,0.00170575888439101,-0.739799729625091,1,1
87,spatial_helix,hard,6,9,4,6,0,8.87377711028538,0.0140247655238469,8.85949363269447,43.7253688131814,0.347359974555266,0.134829098080448,0.347359974555266,1.41830812149374,0.722837355943345,0.00817520112557117,0.0110909186717879,-0.438564463737777,1,1
88,spatial_helix,mild,8,2,32,8,0,1.97264905169538,0.0136754741523086,1.96921814598088,11.4829897434301,0.255009815952456,0.00190934438264811,0.255009815952456,0.0498035013661185,0.980445336830807,0.000203641766694017,0.000203642395954909,-1.02098922993425,1,1
